(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('accent'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('news'|Spam) = 4.247727465805794e-05
P('since'|Spam) = 8.495454931611588e-05
P('victor'|Spam) = 1.1803309648025306e-05
P('raskin'|Spam) = 1.1803309648025306e-05
P('kindly'|Spam) = 1.1803309648025306e-05
P('keep'|Spam) = 0.0005946818452128111
P('supply'|Spam) = 0.00016990909863223177
P('response'|Spam) = 0.0005946818452128111
P('receive'|Spam) = 0.002038909183586781
P('july'|Spam) = 1.1803309648025306e-05
P('6'|Spam) = 0.0005097272958966952
P('query'|Spam) = 1.1803309648025306e-05
P('westfield'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('petition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('unusually'|Spam) = 1.1803309648025306e-05
P('prepare'|Spam) = 4.247727465805794e-05
P('respond'|Spam) = 8.495454931611588e-05
P('reporter'|Spam) = 1.1803309648025306e-05
P('meredith'|Spam) = 1.1803309648025306e-05
P('o'brien'|Spam) = 1.1803309648025306e-05
P('phon'|Spam) = 1.1803309648025306e-05
P('july'|Spam) = 1.1803309648025306e-05
P('8'|Spam) = 0.0008495454931611588
P('ask'|Spam) = 0.0005946818452128111
P('opinion'|Spam) = 1.1803309648025306e-05
P('linguist'|Spam) = 1.1803309648025306e-05
P('matter'|Spam) = 0.0001274318239741738
P(';'|Spam) = 0.00016990909863223177
P('tell'|Spam) = 0.00029734092260640555
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('discussion'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('quite'|Spam) = 1.1803309648025306e-05
P('surprise'|Spam) = 1.1803309648025306e-05
P('interest'|Spam) = 0.0006371591198708691
P('learn'|Spam) = 0.0004247727465805794
P('existence'|Spam) = 1.1803309648025306e-05
P('thing'|Spam) = 0.00029734092260640555
P(','|Spam) = 0.033004842409311015
P('turn'|Spam) = 0.0002123863732902897
P('ediotr'|Spam) = 1.1803309648025306e-05
P('too'|Spam) = 0.00033981819726446353
P(','|Spam) = 0.033004842409311015
P('result'|Spam) = 0.00038229547192252146
P('article'|Spam) = 1.1803309648025306e-05
P('much'|Spam) = 0.0013167955143997961
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('first'|Spam) = 0.0006371591198708691
P('.'|Spam) = 0.08032452637838756
P('contact'|Spam) = 0.0004672500212386373
P('victor'|Spam) = 1.1803309648025306e-05
P('permission'|Spam) = 1.1803309648025306e-05
P(''d'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('course'|Spam) = 0.0002123863732902897
P('neither'|Spam) = 1.1803309648025306e-05
P('us'|Spam) = 0.002123863732902897
P('contact'|Spam) = 0.0004672500212386373
P('quickly'|Spam) = 0.00016990909863223177
P('enough'|Spam) = 0.00016990909863223177
P('many'|Spam) = 0.0016141364370062016
P('linguist'|Spam) = 1.1803309648025306e-05
P('whose'|Spam) = 4.247727465805794e-05
P('response'|Spam) = 0.0005946818452128111
P('fax'|Spam) = 0.0015716591623481438
P('newspaper'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('figure'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('victor'|Spam) = 1.1803309648025306e-05
P('agree'|Spam) = 0.0001274318239741738
P(','|Spam) = 0.033004842409311015
P('message'|Spam) = 0.0005946818452128111
P('send'|Spam) = 0.0029734092260640557
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('less'|Spam) = 0.00033981819726446353
P('public'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('case'|Spam) = 0.0001274318239741738
P('positive'|Spam) = 1.1803309648025306e-05
P('opportunity'|Spam) = 0.00033981819726446353
P('us'|Spam) = 0.002123863732902897
P('educate'|Spam) = 1.1803309648025306e-05
P('public'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('alway'|Spam) = 0.0002123863732902897
P('opportunity'|Spam) = 0.00033981819726446353
P('.'|Spam) = 0.08032452637838756
P('certainly'|Spam) = 1.1803309648025306e-05
P('hope'|Spam) = 4.247727465805794e-05
P('everyone'|Spam) = 0.00029734092260640555
P('quote'|Spam) = 4.247727465805794e-05
P('article'|Spam) = 1.1803309648025306e-05
P('agree'|Spam) = 0.0001274318239741738
P('right'|Spam) = 0.0005522045705547532
P('thing'|Spam) = 0.00029734092260640555
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('discussion'|Spam) = 1.1803309648025306e-05
P('available'|Spam) = 0.0006796363945289271
P('reporter'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('reporter'|Spam) = 1.1803309648025306e-05
P('job'|Spam) = 0.0007221136691869849
P('.'|Spam) = 0.08032452637838756
P('here'|Spam) = 0.0006796363945289271
P(''s'|Spam) = 0.0026760683034576503
P('text'|Spam) = 0.0008495454931611588
P('article'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('springfield'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('mass'|Spam) = 0.0002548636479483476
P('.'|Spam) = 0.08032452637838756
P(')'|Spam) = 0.004714977487044431
P('union'|Spam) = 4.247727465805794e-05
P('-'|Spam) = 0.04727720669441848
P(','|Spam) = 0.033004842409311015
P('westfield'|Spam) = 1.1803309648025306e-05
P('edition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('friday'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('july'|Spam) = 1.1803309648025306e-05
P('10'|Spam) = 0.001953954634270665
P(','|Spam) = 0.033004842409311015
