(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('english'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('jonathan'|Spam) = 1.1803309648025306e-05
P('david'|Spam) = 1.1803309648025306e-05
P('bobaljik'|Spam) = 1.1803309648025306e-05
P('post'|Spam) = 0.0002548636479483476
P('message'|Spam) = 0.0005946818452128111
P('vol'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('5-1276'|Spam) = 1.1803309648025306e-05
P('list'|Spam) = 0.0024212046555093024
P('discuss'|Spam) = 1.1803309648025306e-05
P('various'|Spam) = 8.495454931611588e-05
P('yup'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('ik'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('snow'|Spam) = 1.1803309648025306e-05
P('contribute'|Spam) = 4.247727465805794e-05
P('anthony'|Spam) = 1.1803309648025306e-05
P('woodbury'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('sake'|Spam) = 1.1803309648025306e-05
P('comparison'|Spam) = 4.247727465805794e-05
P('list'|Spam) = 0.0024212046555093024
P('9'|Spam) = 0.0012743182397417382
P('10'|Spam) = 0.001953954634270665
P('english'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('snow'|Spam) = 1.1803309648025306e-05
P('snow-like'|Spam) = 1.1803309648025306e-05
P('thing'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('useful'|Spam) = 8.495454931611588e-05
P('whether'|Spam) = 1.1803309648025306e-05
P('each'|Spam) = 0.0014867046130320279
P('english'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('means'|Spam) = 0.0001274318239741738
P('_'|Spam) = 0.1741993033726956
P('primarily'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('snow'|Spam) = 1.1803309648025306e-05
P('whether'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('sense'|Spam) = 4.247727465805794e-05
P('derive'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('figurative'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('otherwise'|Spam) = 0.0001274318239741738
P('secondary'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('consult'|Spam) = 8.495454931611588e-05
P('various'|Spam) = 8.495454931611588e-05
P('edition'|Spam) = 1.1803309648025306e-05
P('oxford'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('dictionary'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('result'|Spam) = 0.00038229547192252146
P('follow'|Spam) = 0.0011468864157675644
P(':'|Spam) = 0.008410500382295473
P('.'|Spam) = 0.08032452637838756
P('acceptable'|Spam) = 1.1803309648025306e-05
P('case'|Spam) = 0.0001274318239741738
P(':'|Spam) = 0.008410500382295473
P('1'|Spam) = 0.0018265228102964913
P('.'|Spam) = 0.08032452637838756
P('snow'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('english'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('respectable'|Spam) = 1.1803309648025306e-05
P('pedigree'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('mean'|Spam) = 8.495454931611588e-05
P('primarily'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('2'|Spam) = 0.002081386458244839
P('.'|Spam) = 0.08032452637838756
P('sleet'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('.'|Spam) = 0.08032452637838756
P(','|Spam) = 0.033004842409311015
P('eskimo'|Spam) = 1.1803309648025306e-05
