(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('accent'|Spam) = 1.1803309648025306e-05
P('classroom'|Spam) = 1.1803309648025306e-05
P('receive'|Spam) = 0.002038909183586781
P('number'|Spam) = 0.0010194545917933905
P('helpful'|Spam) = 1.1803309648025306e-05
P('informative'|Spam) = 1.1803309648025306e-05
P('response'|Spam) = 0.0005946818452128111
P('few'|Spam) = 0.00033981819726446353
P('colleague'|Spam) = 1.1803309648025306e-05
P('grateful'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('below'|Spam) = 0.0004672500212386373
P('please'|Spam) = 0.0025911137541415343
P('digest'|Spam) = 1.1803309648025306e-05
P('response'|Spam) = 0.0005946818452128111
P('.'|Spam) = 0.08032452637838756
P('first'|Spam) = 0.0006371591198708691
P(','|Spam) = 0.033004842409311015
P('barbara'|Spam) = 1.1803309648025306e-05
P('partee'|Spam) = 1.1803309648025306e-05
P('provide'|Spam) = 0.0004247727465805794
P('background'|Spam) = 1.1803309648025306e-05
P('information'|Spam) = 0.0024212046555093024
P('case'|Spam) = 0.0001274318239741738
P('itself'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('play'|Spam) = 8.495454931611588e-05
P('practically'|Spam) = 1.1803309648025306e-05
P('own'|Spam) = 0.0008920227678192168
P('backyard'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('july'|Spam) = 1.1803309648025306e-05
P('7'|Spam) = 0.0004672500212386373
P(','|Spam) = 0.033004842409311015
P('1992'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('barbara'|Spam) = 1.1803309648025306e-05
P('partee'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('partee'|Spam) = 1.1803309648025306e-05
P('@'|Spam) = 0.0010194545917933905
P('c'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('umass'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('edu'|Spam) = 4.247727465805794e-05
P(')'|Spam) = 0.004714977487044431
P('write'|Spam) = 0.0004247727465805794
P(':'|Spam) = 0.008410500382295473
P('"'|Spam) = 0.008835273128876052
P('''|Spam) = 0.0018265228102964913
P('m'|Spam) = 0.0004247727465805794
P('keep'|Spam) = 0.0005946818452128111
P('eye'|Spam) = 0.0005522045705547532
P('westfield'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('uproar'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('far'|Spam) = 1.1803309648025306e-05
P('here'|Spam) = 0.0006796363945289271
P(''s'|Spam) = 0.0026760683034576503
P('something'|Spam) = 0.0002548636479483476
P('paper'|Spam) = 0.00038229547192252146
P('almost'|Spam) = 0.0002548636479483476
P('every'|Spam) = 0.0006796363945289271
P('day'|Spam) = 0.0013592727890578541
P(','|Spam) = 0.033004842409311015
P('include'|Spam) = 0.0013592727890578541
P('editorial'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('''|Spam) = 0.0018265228102964913
P('ll'|Spam) = 0.00033981819726446353
P('glad'|Spam) = 4.247727465805794e-05
P('help'|Spam) = 0.0016141364370062016
P('keep'|Spam) = 0.0005946818452128111
P('update'|Spam) = 4.247727465805794e-05
P('news'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('appreciate'|Spam) = 4.247727465805794e-05
P('receive'|Spam) = 0.002038909183586781
P('reference'|Spam) = 4.247727465805794e-05
P('research'|Spam) = 0.0001274318239741738
P('show'|Spam) = 0.0008495454931611588
P('parent'|Spam) = 0.00016990909863223177
P('nothing'|Spam) = 0.00029734092260640555
P('worry'|Spam) = 0.0001274318239741738
P('.'|Spam) = 0.08032452637838756
P('('|Spam) = 0.004162772916489678
P('article'|Spam) = 1.1803309648025306e-05
P('local'|Spam) = 8.495454931611588e-05
P('paper'|Spam) = 0.00038229547192252146
P('today'|Spam) = 0.0011468864157675644
P(','|Spam) = 0.033004842409311015
P('reaction'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('paragraph'|Spam) = 0.0001274318239741738
P('"'|Spam) = 0.008835273128876052
P('linguist'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('long'|Spam) = 0.0002123863732902897
P('teacher'|Spam) = 1.1803309648025306e-05
P('comprehensible'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('parent'|Spam) = 0.00016990909863223177
P('concern'|Spam) = 8.495454931611588e-05
P('"'|Spam) = 0.008835273128876052
P('model'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('classroom'|Spam) = 1.1803309648025306e-05
P('help'|Spam) = 0.0016141364370062016
P('child'|Spam) = 0.0005097272958966952
P('become'|Spam) = 0.0005097272958966952
P('americanize'|Spam) = 1.1803309648025306e-05
P('quickly'|Spam) = 0.00016990909863223177
P('speech'|Spam) = 1.1803309648025306e-05
P('little'|Spam) = 0.0002548636479483476
P('worry'|Spam) = 0.0001274318239741738
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('name'|Spam) = 0.0030158865007221137
P('reference'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P(')'|Spam) = 0.004714977487044431
P('happen'|Spam) = 4.247727465805794e-05
P('early'|Spam) = 1.1803309648025306e-05
P('week'|Spam) = 0.0005946818452128111
P('petition'|Spam) = 1.1803309648025306e-05
P('sign'|Spam) = 4.247727465805794e-05
P('403'|Spam) = 1.1803309648025306e-05
P('resident'|Spam) = 0.00029734092260640555
P('westfield'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('mass'|Spam) = 0.0002548636479483476
P('.'|Spam) = 0.08032452637838756
P('school'|Spam) = 0.0002548636479483476
P('board'|Spam) = 1.1803309648025306e-05
P('response'|Spam) = 0.0005946818452128111
P('decision'|Spam) = 8.495454931611588e-05
P('reassign'|Spam) = 1.1803309648025306e-05
P('two'|Spam) = 0.00016990909863223177
P('bilingual'|Spam) = 1.1803309648025306e-05
P('education'|Spam) = 4.247727465805794e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('position'|Spam) = 0.00016990909863223177
P('normal'|Spam) = 1.1803309648025306e-05
P('classroom'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('petition'|Spam) = 1.1803309648025306e-05
P('urge'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('assign'|Spam) = 1.1803309648025306e-05
P('first'|Spam) = 0.0006371591198708691
P('second'|Spam) = 4.247727465805794e-05
P('grade'|Spam) = 4.247727465805794e-05
P('"'|Spam) = 0.008835273128876052
P('thoroughly'|Spam) = 1.1803309648025306e-05
P('proficient'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('language'|Spam) = 1.1803309648025306e-05
P('term'|Spam) = 4.247727465805794e-05
P('grammar'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('syntax'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
