(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('even'|Spam) = 0.0010619318664514485
P('steal'|Spam) = 4.247727465805794e-05
P('identity'|Spam) = 1.1803309648025306e-05
P('!'|Spam) = 0.024594342027015548
P('are'|Spam) = 0.0002548636479483476
P('being'|Spam) = 1.1803309648025306e-05
P('investigated'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('has'|Spam) = 8.495454931611588e-05
P('personal'|Spam) = 0.00029734092260640555
P('credit'|Spam) = 0.0028035001274318238
P('information'|Spam) = 0.0024212046555093024
P('steal'|Spam) = 4.247727465805794e-05
P('?'|Spam) = 0.0028459774020898818
P('has'|Spam) = 8.495454931611588e-05
P('someone'|Spam) = 0.00029734092260640555
P('assume'|Spam) = 4.247727465805794e-05
P('identity'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('locate'|Spam) = 1.1803309648025306e-05
P('old'|Spam) = 0.0002548636479483476
P('friend'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('relative'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('military'|Spam) = 1.1803309648025306e-05
P('buddy'|Spam) = 1.1803309648025306e-05
P('sweetheart'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('want'|Spam) = 0.0016990909863223175
P('person'|Spam) = 0.00033981819726446353
P(''s'|Spam) = 0.0026760683034576503
P('asset'|Spam) = 1.1803309648025306e-05
P('collect'|Spam) = 0.00033981819726446353
P('debt'|Spam) = 0.0007221136691869849
P('judgement'|Spam) = 8.495454931611588e-05
P('?'|Spam) = 0.0028459774020898818
P('check'|Spam) = 0.0024212046555093024
P('person'|Spam) = 0.00033981819726446353
P(''s'|Spam) = 0.0026760683034576503
P('criminal'|Spam) = 1.1803309648025306e-05
P('record'|Spam) = 0.0010194545917933905
P('before'|Spam) = 0.0007221136691869849
P('rent'|Spam) = 4.247727465805794e-05
P('space'|Spam) = 4.247727465805794e-05
P('employment'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('fix'|Spam) = 1.1803309648025306e-05
P('credit'|Spam) = 0.0028035001274318238
P('bureau'|Spam) = 1.1803309648025306e-05
P('report'|Spam) = 0.0017415682609803755
P(','|Spam) = 0.033004842409311015
P('create'|Spam) = 0.00016990909863223177
