(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('forensic'|Spam) = 1.1803309648025306e-05
P('linguistic'|Spam) = 1.1803309648025306e-05
P('conference'|Spam) = 8.495454931611588e-05
P('international'|Spam) = 8.495454931611588e-05
P('association'|Spam) = 1.1803309648025306e-05
P('forensic'|Spam) = 1.1803309648025306e-05
P('linguists'|Spam) = 1.1803309648025306e-05
P('second'|Spam) = 4.247727465805794e-05
P('international'|Spam) = 8.495454931611588e-05
P('conference'|Spam) = 8.495454931611588e-05
P('hold'|Spam) = 8.495454931611588e-05
P('mary'|Spam) = 4.247727465805794e-05
P('white'|Spam) = 1.1803309648025306e-05
P('college'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('university'|Spam) = 4.247727465805794e-05
P('england'|Spam) = 4.247727465805794e-05
P('armidale'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('south'|Spam) = 4.247727465805794e-05
P('wale'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('australium'|Spam) = 4.247727465805794e-05
P('9-12'|Spam) = 1.1803309648025306e-05
P('july'|Spam) = 1.1803309648025306e-05
P('1995'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('call'|Spam) = 0.0012743182397417382
P('abstracts'|Spam) = 1.1803309648025306e-05
P('paper'|Spam) = 0.00038229547192252146
P('call'|Spam) = 0.0012743182397417382
P('member'|Spam) = 0.0005946818452128111
P('international'|Spam) = 8.495454931611588e-05
P('association'|Spam) = 1.1803309648025306e-05
P('forensic'|Spam) = 1.1803309648025306e-05
P('linguist'|Spam) = 1.1803309648025306e-05
P('whose'|Spam) = 4.247727465805794e-05
P('work'|Spam) = 0.0015291818876900858
P('involve'|Spam) = 8.495454931611588e-05
P('iafl'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('aim'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('broadly'|Spam) = 1.1803309648025306e-05
P('area'|Spam) = 0.0005097272958966952
P('language'|Spam) = 1.1803309648025306e-05
P('law'|Spam) = 0.00016990909863223177
P('.'|Spam) = 0.08032452637838756
P('('|Spam) = 0.004162772916489678
P('need'|Spam) = 0.002081386458244839
P('info'|Spam) = 8.495454931611588e-05
P('iafl'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('aim'|Spam) = 1.1803309648025306e-05
P('contact'|Spam) = 0.0004672500212386373
P('one'|Spam) = 0.0025911137541415343
P('list'|Spam) = 0.0024212046555093024
P('toward'|Spam) = 4.247727465805794e-05
P('end'|Spam) = 0.0001274318239741738
P('message'|Spam) = 0.0005946818452128111
P('.'|Spam) = 0.08032452637838756
P(')'|Spam) = 0.004714977487044431
P('member'|Spam) = 0.0005946818452128111
P('keen'|Spam) = 1.1803309648025306e-05
P('communicate'|Spam) = 4.247727465805794e-05
P('professional'|Spam) = 0.0001274318239741738
P('scholar'|Spam) = 1.1803309648025306e-05
P('relate'|Spam) = 0.00016990909863223177
P('discipline'|Spam) = 1.1803309648025306e-05
P('work'|Spam) = 0.0015291818876900858
P('aspect'|Spam) = 4.247727465805794e-05
P('language'|Spam) = 1.1803309648025306e-05
P('law'|Spam) = 0.00016990909863223177
P('.'|Spam) = 0.08032452637838756
P('prospective'|Spam) = 4.247727465805794e-05
P('paper-giver'|Spam) = 1.1803309648025306e-05
P('invite'|Spam) = 0.0001274318239741738
P('submit'|Spam) = 1.1803309648025306e-05
P('half-page'|Spam) = 1.1803309648025306e-05
P('abstract'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('along'|Spam) = 8.495454931611588e-05
P('brief'|Spam) = 4.247727465805794e-05
P('biography'|Spam) = 1.1803309648025306e-05
P('include'|Spam) = 0.0013592727890578541
P('professional'|Spam) = 0.0001274318239741738
P('background'|Spam) = 1.1803309648025306e-05
P('interest'|Spam) = 0.0006371591198708691
P('.'|Spam) = 0.08032452637838756
P('deadline'|Spam) = 1.1803309648025306e-05
P('submission'|Spam) = 1.1803309648025306e-05
P('abstract'|Spam) = 1.1803309648025306e-05
P('february'|Spam) = 1.1803309648025306e-05
P('3rd'|Spam) = 4.247727465805794e-05
P('1995'|Spam) = 1.1803309648025306e-05
P('send'|Spam) = 0.0029734092260640557
P('abstract'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('diana'|Spam) = 1.1803309648025306e-05
P('eade'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('iafl'|Spam) = 1.1803309648025306e-05
P('conference'|Spam) = 8.495454931611588e-05
P('co'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('ordinator'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('linguistic'|Spam) = 1.1803309648025306e-05
P('dept'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('university'|Spam) = 4.247727465805794e-05
P('england'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('armidale'|Spam) = 1.1803309648025306e-05
